sitios,fecha,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
Náutico 400 m,2023-11-14,primavera,16.0,22.0,4.975,6.91,Ausencia,Ausencia,Ausencia,Presencia,1550.0,850.0,405.0,3.7,0.92,0.23,0.2,3.9,30.0,18.0,0.1,0.005,0.001,10.0,0.17,40.0,Extremadamente deteriorada
Náutico 400 m,2023-08-23,invierno,12.0,15.0,9.3,7.4,Ausencia,Ausencia,Ausencia,Ausencia,450.0,450.0,640.0,8.9,1.9,3.1,0.3,2.0,30.0,22.0,0.1,0.005,0.001,3.1,0.15,40.0,Extremadamente deteriorada
Pejerrey Club 400 m,2023-02-22,Verano,25.0,28.0,7.23,6.32,Ausencia,Ausencia,Ausencia,Ausencia,6000.0,400.0,30.0,6.9,0.24,0.34,0.18,2.7,30.0,38.0,0.1,0.011,0.001,3.1,5.0,37.5,
Pejerrey Club 400 m,2023-05-10,otoño,17.0,23.0,6.08,6.75,Ausencia,Ausencia,Ausencia,Ausencia,2.0,400.0,60.0,10.0,0.78,0.3,0.29,2.0,30.0,17.0,0.1,0.005,1.0,1.2,0.15,36.0,Extremadamente deteriorada
Pejerrey Club 400 m,2023-11-14,primavera,16.0,22.0,4.975,6.97,Ausencia,Ausencia,Ausencia,Ausencia,800.0,540.0,140.0,3.8,0.78,0.24,0.2,7.3,30.0,11.0,0.1,0.005,0.001,10.7,0.15,39.0,Extremadamente deteriorada
Calle 14 y Costa - Salida cloaca,2023-02-22,Verano,25.25,24.0,6.27,7.24,Ausencia,Ausencia,Ausencia,Ausencia,1000.0,800.0,530.0,2.4,0.05,0.86,0.14,17.0,120.0,150.0,0.1,0.005,0.001,174.32,5.0,37.5,
Calle 14 y Costa - Salida cloaca,2023-05-10,otoño,18.0,12.0,6.08,7.32,Ausencia,Ausencia,Ausencia,Ausencia,178.0,170000.0,9000.0,6.3,16.0,1.2,1.2,24.0,41.0,12.0,0.1,0.005,1.0,5.91,0.15,28.0,Extremadamente deteriorada
Calle 14 y Costa - Salida cloaca,2023-11-14,primavera,16.0,22.0,4.975,6.63,Ausencia,Ausencia,Ausencia,Presencia,600.0,500.0,50.0,9.0,1.4,0.2,0.2,7.2,32.0,9.3,0.1,0.005,0.001,10.0,0.58,36.0,Extremadamente deteriorada
Pejerrey Club 400 m,2023-08-23,invierno,12.0,15.0,8.11,7.55,Ausencia,Ausencia,Ausencia,Ausencia,600.0,600.0,260.0,7.7,1.5,0.48,0.25,2.0,30.0,27.0,0.1,0.005,0.001,1.31,0.15,47.0,Muy deteriorada
Calle 14 y Costa - Salida cloaca,2023-08-23,invierno,14.4,13.0,6.35,7.395,,,,,3300.0,2200.0,1000.0,11.2,1.9,0.77,0.36,2.95,30.0,26.0,0.1,0.005,0.001,3.85,0.15,37.0,
